Year,Africa,Asia,Europe,North America,Oceania,South America
2000,9.984,8.866666666666667,17.35,6.459999999999999,13.38888888888889,10.183333333333334
2001,9.632,8.615384615384615,17.005000000000003,6.175,13.422222222222222,10.708333333333334
2002,9.486,8.515384615384615,16.9175,6.14,13.122222222222222,11.166666666666666
2003,9.296,8.548717948717949,16.375,6.225,12.966666666666665,10.633333333333333
2004,9.228,8.51025641025641,16.044999999999998,6.34,12.600000000000001,10.491666666666667
2005,9.208,8.692307692307692,15.965,6.425,12.8,10.391666666666667
2006,9.312000000000001,8.310256410256411,15.5675,6.165,12.777777777777779,10.408333333333333
2007,9.33,8.33076923076923,14.897499999999999,5.86,13.022222222222222,10.625
2008,9.517999999999999,8.076923076923077,15.2875,5.805,13.222222222222221,10.508333333333333
2009,9.61,7.989743589743591,15.425,5.720000000000001,12.955555555555556,10.833333333333334
2010,9.564,7.869230769230769,14.88,5.76,13.31111111111111,10.841666666666667
2011,9.492,7.635897435897436,14.6525,5.83,13.088888888888889,10.85
2012,9.54,7.461538461538462,14.665000000000001,5.71,13.222222222222221,11.158333333333333
2013,9.502,7.228205128205127,14.440000000000001,5.655,13.100000000000001,11.075000000000001
2014,9.566,6.997435897435897,14.194999999999999,5.55,13.033333333333333,11.15
2015,9.372,6.894871794871794,13.732499999999998,5.755,13.077777777777776,11.241666666666667
2016,9.104,6.823076923076924,13.190000000000001,5.375,12.922222222222222,11.466666666666667
2017,8.878,6.743589743589744,12.6625,5.38,13.055555555555555,11.658333333333333
2018,8.702,6.6923076923076925,12.567499999999999,5.34,12.622222222222222,11.716666666666667
2019,8.512,6.625641025641025,12.440000000000001,5.3950000000000005,12.544444444444444,11.649999999999999
